title,authors,num_citations,pub_year,pub_id,abstract,object,novelty score
Shifting Paradigms in TNBC Treatment: Emerging Alternatives to Capecitabine in the Post-Neoadjuvant Setting,"[{'authorId': '5149946', 'name': 'H. Abahssain'}, {'authorId': '2304663587', 'name': 'Amine Souadka'}, {'authorId': '2310070168', 'name': 'Rania Alem'}, {'authorId': '2260930178', 'name': 'M. Santoni'}, {'authorId': '6875831', 'name': 'N. Battelli'}, {'authorId': '2261719147', 'name': 'Eric Amela'}, {'authorId': '2158736914', 'name': 'Antoine Lemaire'}, {'authorId': '2309996173', 'name': 'Joseph Rodriguez'}, {'authorId': '2307380924', 'name': 'Hassan Errihani'}]",0,2024.0,36295d311b32f8787e66fdd10540c985bc14ebef,"Background: Triple-negative breast cancer (TNBC) remains a clinically challenging subtype due to its aggressive nature and limited treatment options post-neoadjuvant failure. Historically, capecitabine has been the cornerstone of adjuvant therapy for TNBC patients not achieving a pathological complete response (pCR). However, the integration of new modalities such as immunotherapy and PARP inhibitors has prompted a re-evaluation of traditional post-neoadjuvant approaches. Methods: This review synthesizes data from pivotal clinical trials and meta-analyses to evaluate the efficacy of emerging therapies in the post-neoadjuvant setting. We focus on the role of immune checkpoint inhibitors (ICIs), PARP inhibitors (PARPis), and antibody-drug conjugates (ADCs) alongside or in place of capecitabine in TNBC treatment paradigms. Results: The addition of ICIs like pembrolizumab to neoadjuvant regimens has shown increased pCR rates and improved event-free survival, posing new questions about optimal post-neoadjuvant therapies. Similarly, PARPis have demonstrated efficacy in BRCA-mutated TNBC populations, with significant improvements in disease-free survival (DFS) and overall survival (OS). Emerging studies on ADCs further complicate the adjuvant landscape, offering potentially efficacious alternatives to capecitabine, especially in patients with residual disease after neoadjuvant therapy. Discussion: The challenge remains to integrate these new treatments into clinical practice effectively, considering factors such as drug resistance, patient-specific characteristics, and socio-economic barriers. This review discusses the implications of these therapies and suggests a future direction focused on personalized medicine approaches in TNBC. Conclusions: As the treatment landscape for TNBC evolves, the role of capecitabine is being critically examined. While it remains a viable option for certain patient groups, the introduction of ICIs, PARPis, and ADCs offers promising alternatives that could redefine adjuvant therapy standards. Ongoing and future trials will be pivotal in determining the optimal therapeutic strategies for TNBC patients with residual disease post-neoadjuvant therapy.",capecitabine,93.55535055350553
Synergistic Enhancement of TNBC Treatment in African American Women: Integrating Resveratrol with Electrical Pulse Therapy,"[{'authorId': '2131870501', 'name': 'Pragatheiswar Giri'}, {'authorId': '6468669', 'name': 'I. Camarillo'}, {'authorId': '2321678180', 'name': 'Raji Sundararajan'}]",0,2024.0,26da4234fa0936a83022f7342252da30a2456fd3,"African American women face a disproportionately big challenge from Triple Negative Breast Cancer (TNBC), the deadliest form of breast cancer, marking a critical issue in the fields of women's health and oncology in the United States. This group experiences a 40% higher mortality rate compared to women of other ethnicities, highlighting a significant disparity, and underscoring the urgent need for the development of targeted, effective treatments, specifically tailored to address these demographic women. Towards this, the efficacy of high intensity, short duration electrical pulses combined with Resveratrol (Resv), a natural polyphenol, as a novel therapeutic agent against TNBC is investigated. Electrical pulses facilitate enhanced drug transport through the opening of pores in cell membrane for those molecules that are normally non-permeable. This approach addresses the challenge of Resv's limited bioavailability and enhances its apoptotic potential. Employing MDA-MB-468 cell line, derived from an African American woman, this study investigates the effects of Resv and electrical pulses (EP) on TNBC cells. The TNBC cells were treated with Resv and subjected to eight pulses of multiple electric fields ranging from 500V/cm to 1200V/cm at 100μs, and at 1Hz, followed by assessments monitoring viability, colony formation, and intracellular reactive oxygen species (ROS) levels. The results indicate an 84% reduction in live cancer cell viability and a 4-fold increase in ROS levels with the combined treatment, suggesting a promising approach to alternative TNBC therapy. This research evaluates a natural bio compound, along with an advanced drug delivery system, targeting a reduction in mortality rates and improved quality of life for TNBC patients.",Resveratrol,93.55535055350553
Abstract 4362: Combination of conventional therapies and antiandrogenic treatments as a succesful tool for triple negative breast cancer (TNBC) treatment,"[{'authorId': '66781089', 'name': 'S. Cáceres'}, {'authorId': '2004672307', 'name': 'A. Diez'}, {'authorId': '144917172', 'name': 'G. Silván'}, {'authorId': '112975979', 'name': 'M. Illera'}, {'authorId': '5848682', 'name': 'J. Illera'}]",0,2020.0,515b7a7f43c3731f4376166c70ccd4c0c8584d93,"Triple negative breast cancer (TNBC) patients do not benefit from conventional hormonal therapies due to the loss of expression of ER, PR, and HER2. Therefore, the usual adjuvant treatments for breast cancer, are not applied to TNBC. Recently, it has been found that approximately one third of TNBC tumours express androgen receptor (AR) and it is associated with better response to endocrine therapies. However, the prognostic value of AR expression in TNBC is still unclear. Therefore, in this preliminary study we evaluate the effectiveness of an anti-androgen treatment (bicalutamide) respect to conventional treatments (doxorubicin and lapatinib) in TNBC human cell lines and their corresponding xenografts. Briefly, SUM149, SUM159 and MDAMB231 TNBC cell lines were cultured in supplemented medium. Cells were plated in 96-well plates and a serial dilution of Doxorubicin, Lapatinib, Bicatulamide and respective combinations were added. In addition, 106 cells were implanted subcutaneosly into five female mice (Balb/C SCID). When tumors developed, mice were treated with doxorubicin, bicalutamide, doxorubicin + bicalutamide and doxorubicin + bicalutamide + lapatinib. Every treatment was perfomed every 3 days during 15 days and tumor reduction and appearance of metastases were evaluated. Results from cell culture showed that neoplasic cells from each cell line were high sensitive to bicalutamide treatment (SUM149 EC50: 9,860e009; MDAMB231 EC50: 9,454e009; SUM159 EC50: 2,170e009). Also, viability decreased when we added an anti-androgen (bicalutamide) to the conventional treatments (doxorubicin + lapatinib). In vivo experiments revealed a greater percentage of tumour reduction (around 70%) in mice treated with combination of treatments and a lower appearance of metastasis was observed in this group respect to control group (SUM149: 40% vs 60%; MDA-MB-231: 20% vs 75%; SUM159: 20% vs 60%). Therefore, our preliminary findings suggest that the addition of an anti-androgenic agent to treatments currently in use can reduce the tumour considerably, defining anti-androgenic treatments as a novel effective therapeutic target. Citation Format: Sara Caceres, Angela Alonso Diez, Gema Silvan, Maria J. Illera, Juan C. Illera. Combination of conventional therapies and antiandrogenic treatments as a succesful tool for triple negative breast cancer (TNBC) treatment [abstract]. In: Proceedings of the Annual Meeting of the American Association for Cancer Research 2020; 2020 Apr 27-28 and Jun 22-24. Philadelphia (PA): AACR; Cancer Res 2020;80(16 Suppl):Abstract nr 4362.",bicalutamide,91.55535055350553
Polymeric nanomaterials-based theranostic platforms for triple-negative breast cancer (TNBC) treatment.,"[{'authorId': '2306980732', 'name': 'Sudhakar Reddy Baddam'}, {'authorId': '2292523399', 'name': 'Srinivas Ganta'}, {'authorId': '2300929173', 'name': 'Seshadri Nalla'}, {'authorId': '2306978364', 'name': 'Chandrasekhar Banoth'}, {'authorId': '2292531060', 'name': 'Balaraju Vudari'}, {'authorId': '2279602348', 'name': 'Pavan C. Akkiraju'}, {'authorId': '2306978408', 'name': 'Enaganti Srinivas'}, {'authorId': '91415530', 'name': 'R. Tade'}]",4,2024.0,9e66c5065dbf64d7cadd7ef88bde75211a4c3351,,nanomaterials,89.55535055350553
DR-5 and DLL-4 mAb Functionalized SLNs of Gamma-Secretase Inhibitors- An Approach for TNBC Treatment,"[{'authorId': '47304999', 'name': 'M. Kumari'}, {'authorId': '48797710', 'name': 'P. Krishnamurthy'}, {'authorId': '2037148505', 'name': 'Sai kiran S. S. Pinduprolu'}, {'authorId': '1677758916', 'name': 'Piyong Sola'}]",13,2020.0,8a5a0bab032c1de8764ee330a26f88ca957bcbe4,"Triple-negative breast cancer (TNBC) is the most aggressive and heterogeneous cancer subtypes. High rates of metastasis, poor prognosis, and drug resistance are the major problems associated with TNBC. The current chemotherapeutics eliminate only the bulk tumor cells (non-BCSCs) and do not affect breast cancer stem cells (BCSCs). The BCSCs which are left behind after chemotherapy is reported to promote recurrence and metastasis of TNBC. Death receptor-5 (DR-5) is exclusively expressed in TNBCs and mediates the extrinsic pathway of apoptosis. DR-5, therefore, can be exploited for targeted drug delivery and to induce apoptosis. Gamma-secretase mediated Notch signaling in BCSCs regulates its proliferation, differentiation, and metastasis. The endogenous ligand, Delta-like ligand 4 (DLL4), is reported to activate this Notch signaling in TNBC. Blocking this signaling pathway using both gamma-secretase inhibitors (GSIs) and DLL4 monoclonal antibody (mAb) may produce synergistic benefits. Further, the GSIs (DAPT, LY-411575, RO4929097, MK0752, etc.) suffer from poor bioavailability and off-target side effects such as diarrhea, suppression of lymphopoiesis, headache, hypertension, fatigue, and ventricular dysfunctions. In this hypothesis, we discuss Solid lipid nanoparticles (SLNs) based drug delivery systems containing GSIs and surface modified with DR-5 and DLL4 monoclonal antibodies (mAb) to effectivity target and treat TNBC. The delivery system is designed to deliver the drug cargo precisely to TNBCs through its DR-5 receptors and hence expected to reduce the off-target side effects of GSIs. Further, DLL4 mAb and GSIs are expected to act synergistically to block the Notch signal mediated BCSCs proliferation, differentiation, and metastasis.",gamma-secretase,78.55535055350553
Prolactin modulates TNBC aggressive phenotype limiting tumorigenesis.,"[{'authorId': '1420441839', 'name': 'V. López-Ozuna'}, {'authorId': '4853441', 'name': 'I. Hachim'}, {'authorId': '4504833', 'name': 'M. Hachim'}, {'authorId': '49604886', 'name': 'J. Lebrun'}, {'authorId': '33108465', 'name': 'Suhad Ali'}]",15,2019.0,d3a597407b42e5e8f8ffd83f2bdea4b8b63b4cd8,"Triple negative breast cancer (TNBC) accounts for ~20% of all breast cancer cases. The management of TNBC represents a challenge due to its aggressive phenotype, heterogeneity and lack of targeted therapy. Loss of cell differentiation and enrichment with breast cancer stem-like cells (BCSC) are features of TNBC contributing to its aggressive nature. Here, we found that PRL treatment of TNBC cells to significantly depletes the highly tumorigenic BCSC subpopulations CD44+/CD24- and ALDH+ and differentiate them to the least tumorigenic CD44-/CD24- and ALDH- phenotype with limited tumorsphere formation and self-renewal capacities. Importantly, we found PRL to induce a heterochromatin phenotype marked by histone H3 lysine 9 trimethylation (H3K9me3) and accompanied by ultrastructural cellular architecture associated with differentiation and senescence rendering the cells refractory to growth signals. Crucially, we found PRL to mediate these effects in vivo in a preclinical animal xenograft of TNBC controlling tumor growth. These results reveal that the lactogenic hormone PRL may exert its anti-tumorigenic effects in TNBC through cellular reprogramming indicative of differentiation resulting in depletion of BCSCs and restricting tumorigenesis.",Prolactin,76.05535055350553
The dawn of targeted therapies for triple negative breast cancer (TNBC): a snapshot of investigational drugs in phase I and II trials,"[{'authorId': '1471641477', 'name': 'My-my Huynh'}, {'authorId': '5858111', 'name': 'M. Pambid'}, {'authorId': '5377883', 'name': 'Aarthi Jayanthan'}, {'authorId': '46884281', 'name': 'A. Dorr'}, {'authorId': '145326383', 'name': 'G. Los'}, {'authorId': '153635084', 'name': 'S. Dunn'}]",17,2020.0,1a17b3167694e72f1c6fd6ad959104418355e573,"ABSTRACT Introduction Triple negative breast cancer (TNBC) was once thought to be an insurmountable disease marked by a lack of targeted treatments. However, we are now witnessing the dawn of targeted therapies for TNBC in which progress has stemmed from an improved understanding of the components that make TNBC unique. The identification of biomarkers, such as BRCA1/2, PIK3CA and RSK2, have advanced the field remarkably and there is considerable interest in finding novel therapeutics for TNBC that offer durable clinical benefit with fewer adverse events. Areas covered We discuss phase I/II trials of new and emerging targeted therapies for TNBC, according to ClinicalTrials.gov up to June 2020. Although the emphasis is on ongoing and completed early phase trials, we also highlight pivotal studies that have led to the approval of new targeted classes of drugs for TNBC, with a focus on outcomes and common adverse events of each class of therapy. Expert opinion The way forward for TNBC treatment is through precision medicine. The use of novel agents matched with biomarkers to identify patients with the best chance of sustainable response offers new hope. We now have great potential for improving the outcomes for patients with TNBC.",BRCA1/2,74.55535055350553
New Achievements for the Treatment of Triple-Negative Breast Cancer,"[{'authorId': '47499841', 'name': 'Alessia Catalano'}, {'authorId': '5869200', 'name': 'Domenico Iacopetta'}, {'authorId': '16198982', 'name': 'Jessica Ceramella'}, {'authorId': '9916266', 'name': 'A. Mariconda'}, {'authorId': '20786403', 'name': 'C. Rosano'}, {'authorId': '6735515', 'name': 'D. Scumaci'}, {'authorId': '144029710', 'name': 'C. Saturnino'}, {'authorId': '3435973', 'name': 'P. Longo'}, {'authorId': '4207203', 'name': 'M. Sinicropi'}]",19,2022.0,61ddb07f39aa0735f087c1565638f6b2d7581c22,"Triple-negative breast cancer (TNBC) constitutes a heterogeneous group of malignancies that are often aggressive and associated with a poor prognosis. The development of new TNBC treatment strategies has become an urgent clinical need. Diagnosis and subtyping of TNBC are essential to establish alternative treatments and targeted therapies for every TNBC patient. Chemotherapy, particularly with anthracycline and taxanes, remains the backbone for medical management for both early and metastatic TNBC. More recently, immune checkpoint inhibitors and targeted therapy have revolutionized cancer treatment. Included in the different strategies studied for TNBC treatment is drug repurposing. Despite the numerous medications available, numerous studies in medicinal chemistry are still aimed at the synthesis of new compounds in order to find new antiproliferative agents capable of treating TNBC. Additionally, some supplemental micronutrients, nutraceuticals and functional foods can potentially reduce the risk of developing cancer or can retard the rate of growth and metastases of established malignant diseases. Finally, nanotechnology in medicine, termed nanomedicines, introduces nanoparticles of variable chemistry and architecture for cancer treatment. This review highlights the most recent studies in search of new therapies for the treatment of TNBC, along with nutraceuticals and repositioning of drugs.",anthracycline,73.55535055350553
Green-synthesized silver nanoparticles from peel extract of pumpkin as a potent radiosensitizer against triple-negative breast cancer (TNBC),"[{'authorId': '4526134', 'name': 'S. Montazersaheb'}, {'authorId': '2281423093', 'name': 'Aziz Eftekhari'}, {'authorId': '2317261785', 'name': 'Amir Shafaroodi'}, {'authorId': '2317469375', 'name': 'Soodeh Tavakoli'}, {'authorId': '2317360151', 'name': 'Sara Jafari'}, {'authorId': '2317416940', 'name': 'Ayşe Baran'}, {'authorId': '13967232', 'name': 'M. Baran'}, {'authorId': '32541905', 'name': 'S. Jafari'}, {'authorId': '2317458821', 'name': 'Elham Ahmadian'}]",21,2024.0,468bb961a447eef2bf16e7dece36378fb7aff6d2,,silver,72.55535055350553
"Anticancer Effect of Benzimidazole Derivatives, Especially Mebendazole, on Triple-Negative Breast Cancer (TNBC) and Radiotherapy-Resistant TNBC In Vivo and In Vitro","[{'authorId': '7386609', 'name': 'H. Choi'}, {'authorId': '30667809', 'name': 'Y. Ko'}, {'authorId': '7949940', 'name': 'Hana Jin'}, {'authorId': '87154196', 'name': 'K. Kang'}, {'authorId': '5121992', 'name': 'I. Ha'}, {'authorId': '2136439502', 'name': 'Hojin Jeong'}, {'authorId': '121930474', 'name': 'Haa-Na Song'}, {'authorId': '2305110619', 'name': 'H. J. Kim'}, {'authorId': '5984026', 'name': 'B. Jeong'}]",20,2021.0,274027ac7cd2552f0c0c387d5e86c3d556589d0d,"In this study, we aimed to evaluate the anticancer effect of benzimidazole derivatives on triple-negative breast cancer (TNBC) and investigate its underlying mechanism of action. Several types of cancer and normal breast cells including MDA-MB-231, radiotherapy-resistant (RT-R) MDA-MB-231, and allograft mice were treated with six benzimidazole derivatives including mebendazole (MBZ). Cells were analyzed for viability, colony formation, scratch wound healing, Matrigel invasion, cell cycle, tubulin polymerization, and protein expression by using Western blotting. In mice, liver and kidney toxicity, changes in body weight and tumor volume, and incidence of lung metastasis were analyzed. Our study showed that MBZ significantly induced DNA damage, cell cycle arrest, and downregulation of cancer stem cell markers CD44 and OCT3/4, and cancer progression-related ESM-1 protein expression in TNBC and RT-R-TNBC cells. In conclusion, MBZ has the potential to be an effective anticancer agent that can overcome treatment resistance in TNBC.",mebendazole,72.05535055350553
